task_id	stratum	category	difficulty	budget	verifier_timeout_s	daytona_base
calibforge__contrastive_solver__data-processing_20260503_182123_002	contrastive/nogap	data-processing	medium	900.0	600.0	bookworm
calibforge__contrastive_solver__data-processing_20260508_045920_004	contrastive/nogap	data-processing	hard	1800.0	900.0	ubuntu2404
calibforge__contrastive_solver__data-processing_20260508_180627_004	contrastive/nogap	data-processing	medium	900.0	900.0	ubuntu2404
calibforge__contrastive_solver__data-processing_20260509_154924_001	contrastive/nogap	data-processing	medium	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__data-processing_20260513_204536_001	contrastive/nogap	data-processing	medium	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__data-processing_20260601_053159_001	contrastive/nogap	data-processing	medium	600.0	600.0	tb2verifier
calibforge__contrastive_solver__data-processing_20260604_002443_004	contrastive/nogap	data-processing	hard	900.0	900.0	tb2verifier
calibforge__contrastive_solver__data-processing_20260604_003814_004	contrastive/nogap	data-processing	hard	900.0	900.0	tb2verifier
calibforge__contrastive_solver__data-processing_20260606_172622_003	contrastive/nogap	data-processing	medium	600.0	600.0	tb2verifier
calibforge__contrastive_solver__data-processing_20260611_112034_001	contrastive/nogap	data-processing	medium	1200.0	300.0	tb2verifier
calibforge__contrastive_solver__data-querying_20260501_051538_001	contrastive/nogap	data-querying	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__data-querying_20260510_062946_001	contrastive/nogap	data-querying	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__data-science_20260508_045740_005	contrastive/nogap	data-science	medium	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__data-science_20260508_045800_005	contrastive/nogap	data-science	medium	600.0	300.0	ubuntu2404
calibforge__contrastive_solver__data-science_20260509_020109_005	contrastive/nogap	data-science	medium	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__data-science_20260509_154924_004	contrastive/nogap	data-science	medium	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__data-science_20260514_134238_001	contrastive/nogap	data-science	medium	600.0	300.0	ubuntu2404
calibforge__contrastive_solver__data-science_20260607_104421_003	contrastive/nogap	data-science	medium	3600.0	600.0	tb2verifier
